repo	version	path	tool_id	sha256
19zhang/iwa_mirna	34b51ff7d639	genomeRetrival.xml	genomeindex	020b20ba4e30662c6dbcf97b965bdb137bb81c5be6bdf3947611bf8d05a22543
19zhang/iwa_mirna	34b51ff7d639	miRNARetrival.xml	databases	1bbc919e62a5d84a2ecc7aba4fc18ca1378f1d51d999aac6b8f7fe941e03ad25
a.gkanogiannis/prune_ld	10ead977a5cf	plink_ld_prune.xml	plink_ld_prune	db8356012866010988d97f25b1b2bcb39fe05c99c185ebf08bf9bd95bb875fe5
aac/irp_integration	a28858cf87bb	irp-gateway.xml	irp-integration	4f60fb9f60a401ff87f747044b578617813e4eef075574b8ea9455aaae41dbde
aafc-mbb/itsx	57e76d405a97	ITSx.xml	ITSx	e1e646843ad4c8086b21e0fbfcdfc8078afe610681f2e165d024bfb795106102
aafc-mbb/kurator	895c1ef05dbc	kurator-wrapper.xml	kurator_1	c3e78e9bedf69a70ba9b4b16cbbe6fff58cf1d3d33314eadb18776855a2c9cce
aafc-mbb/quast	f74009e6e1e1	quast.xml	quast	4b9b0902dfea78c470f4e7df4945f4f169223716c8074ccd35ba22ccd81676ee
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/bamToBed.xml	bedtools_bamtobed	9c544b3b7904300d132082e47a020cb1f7f730ff1cc501c2e5ee37908fecaba6
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/coverageBed_counts.xml	bedtools_coveragebed_counts	f20c11798db0004368acc421e8dfd112f55ff0d52ca35ca9708cceaedbaa249d
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/genomeCoverageBed_bedgraph.xml	bedtools_genomecoveragebed_bedgraph	7a6c2f027c530f9fc48fa785e8cd9d6e33299e057404362e770ae00bcec980cd
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/genomeCoverageBed_histogram.xml	bedtools_genomecoveragebed_histogram	cac84341c98f4d14023ac41c2c1fd7492f510833a21148cb736bf16e2ac78537
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/intersectBed_bam.xml	bedtools_intersectbed_bam	59b163a04cfbbd25299e7bdd5d123ea3bf583b5d61a77ba40a3488c45da17634
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/multiIntersectBed.xml	bedtools_multiintersectbed	2946d2de6420f61bd471f46871f6e0f6bae25a0a9828d870d1f30c2c126a0904
aaronquinlan/bedtools	41bba3e648d1	bedtools-galaxy/unionBedGraphs.xml	bedtools_mergebedgraph	f71c87149836a77ec0cf0774f54578d40e04e1d1176d7f66ff6b71cbf2f21d00
abaizan/kodoja	d4111d1de76f	kodoja_search.xml	kodoja_search	7a0b8421d802fa0b5bd6684af7b4a35c0848968bbaea34797461864deadcc45a
abims-sbr/blastalign	d0ae18156aa2	BlastAlign.xml	blastalign	3530a385baf8154d8c05bc4d88742bc263d7152f0ddee5ae6644d9f99e09e0e2
abims-sbr/cds_search	c79bdda8abfb	CDS_search.xml	cds_search	402ad1d0e2c04b2f5a696a67efe07580412adb00d0b3d444acc45840f82af3cf
abims-sbr/concatphyl	b186cae246bd	ConcatPhyl.xml	concatphyl	535bacb79accf2b64ab450b9569e832ddd15f7370be38bb909bcf0dab1996540
abims-sbr/filter_assemblies	1a35b312bcd8	filter_assembly.xml	filter_assemblies	2c704bdf7330b97bcaf3d7f23408ef0d78a11931b25090b893f7fbdb53d1a9d8
abims-sbr/gffalign	afed7e0cf69e	GFFalign.xml	gffalign	c60674fe2bd84f1f9265f4c8f4044afc21311f5a8067ead7ae024c055322e3a6
abims-sbr/mutcount	acc3674e515b	MutCount.xml	mutcount	3999fb8b0fb49a8d638a040aaeb2958bfe77a35a30325676d9b38ec30f004358
abims-sbr/oligator	a811f7256f6e	oligator.xml	oligator	4f19e01849e5e855009ab2c52c64d6915bb24d468047750f5c6032f20b4b4717
